ccode,pcode,name,lang1,lang2,com_lang
AGO,GLP,Angola,Portuguese,French,0
AGO,GMB,Angola,Portuguese,English,0
AGO,GNB,Angola,Portuguese,Portuguese,1
AGO,GNQ,Angola,Portuguese,Spanish,0
AGO,GRC,Angola,Portuguese,Greek,0
AGO,GRD,Angola,Portuguese,Spanish,0
AGO,GRL,Angola,Portuguese,,0
AGO,GTM,Angola,Portuguese,Spanish,0
AGO,GUF,Angola,Portuguese,French,0
AGO,GUM,Angola,Portuguese,English,0
AGO,GUY,Angola,Portuguese,English,0
AGO,HKG,Angola,Portuguese,English,0
AGO,HMD,Angola,Portuguese,English,0
AGO,HND,Angola,Portuguese,Spanish,0
AGO,HRV,Angola,Portuguese,,0
AGO,HTI,Angola,Portuguese,French,0
AGO,HUN,Angola,Portuguese,,0
AGO,IDN,Angola,Portuguese,,0
AGO,IND,Angola,Portuguese,English,0
AGO,IOT,Angola,Portuguese,English,0
AGO,IRL,Angola,Portuguese,English,0
AGO,IRN,Angola,Portuguese,Persian,0
AGO,IRQ,Angola,Portuguese,Arabic,0
AGO,ISL,Angola,Portuguese,,0
AGO,ISR,Angola,Portuguese,,0
AGO,ITA,Angola,Portuguese,,0
AGO,JAM,Angola,Portuguese,English,0
AGO,JOR,Angola,Portuguese,Arabic,0
AGO,JPN,Angola,Portuguese,,0
AGO,KAZ,Angola,Portuguese,15,0
AGO,KEN,Angola,Portuguese,English,0
AGO,KGZ,Angola,Portuguese,15,0
AGO,KHM,Angola,Portuguese,,0
AGO,KIR,Angola,Portuguese,English,0
AGO,KNA,Angola,Portuguese,English,0
AGO,KOR,Angola,Portuguese,Korean,0
AGO,KWT,Angola,Portuguese,Arabic,0
AGO,LAO,Angola,Portuguese,,0
AGO,LBN,Angola,Portuguese,Arabic,0
AGO,LBR,Angola,Portuguese,English,0
AGO,LBY,Angola,Portuguese,Arabic,0
AGO,LCA,Angola,Portuguese,Spanish,0
AGO,LIE,Angola,Portuguese,German,0
AGO,LKA,Angola,Portuguese,,0
AGO,LSO,Angola,Portuguese,,0
AGO,LTU,Angola,Portuguese,15,0
AGO,LUX,Angola,Portuguese,French,0
AGO,LVA,Angola,Portuguese,15,0
AGO,MAC,Angola,Portuguese,Portuguese,1
AGO,MAR,Angola,Portuguese,Arabic,0
AGO,MCO,Angola,Portuguese,French,0
AGO,MDA,Angola,Portuguese,15,0
AGO,MDG,Angola,Portuguese,French,0
AGO,MDV,Angola,Portuguese,English,0
AGO,MEX,Angola,Portuguese,Spanish,0
AGO,MHL,Angola,Portuguese,English,0
AGO,MKD,Angola,Portuguese,,0
AGO,MLI,Angola,Portuguese,French,0
AGO,MLT,Angola,Portuguese,English,0
AGO,MMR,Angola,Portuguese,Burmese,0
AGO,MNG,Angola,Portuguese,,0
AGO,MNP,Angola,Portuguese,English,0
AGO,MOZ,Angola,Portuguese,Portuguese,1
AGO,MRT,Angola,Portuguese,Arabic,0
AGO,MSR,Angola,Portuguese,French,0
AGO,MTQ,Angola,Portuguese,French,0
AGO,MUS,Angola,Portuguese,English,0
AGO,MWI,Angola,Portuguese,English,0
AGO,MYS,Angola,Portuguese,Malay,0
