ccode,pcode,km
AGO,ITA,5573
AGO,JAM,10311
AGO,JOR,5062
AGO,JPN,13841
AGO,KAZ,8630
AGO,KEN,2715
AGO,KGZ,8441
AGO,KHM,10362
AGO,KNA,8826
AGO,KOR,12705
AGO,KWT,5623
AGO,LAO,10229
AGO,LBN,5235
AGO,LBR,3091
AGO,LBY,4764
AGO,LCA,8568
AGO,LKA,7603
AGO,LTU,7129
AGO,LUX,6482
AGO,LVA,7359
AGO,MAC,11840
AGO,MAR,5146
AGO,MDA,6402
AGO,MDG,3855
AGO,MDV,6827
AGO,MEX,12667
AGO,MKD,5678
AGO,MLI,3321
AGO,MLT,4947
AGO,MMR,9549
AGO,MNG,11006
AGO,MOZ,2785
AGO,MRT,4357
AGO,MUS,4921
AGO,MWI,2293
AGO,MYS,9885
AGO,NAM,1597
AGO,NCL,15547
AGO,NER,2723
AGO,NGA,1977
AGO,NIC,11230
AGO,NLD,6812
AGO,NOR,7584
AGO,NPL,8723
AGO,NZL,14196
AGO,OMN,6070
AGO,PAK,6907
AGO,PAN,10433
AGO,PER,9847
AGO,PHL,12129
AGO,PNG,14567
AGO,POL,6797
AGO,PRK,12545
AGO,PRT,5715
AGO,PRY,7668
AGO,PYF,16588
AGO,QAT,5610
AGO,ROM,6018
AGO,RUS,7471
AGO,RWA,2012
AGO,SAU,5150
AGO,SDN,3394
AGO,SEN,4218
AGO,SER,5947
AGO,SGP,10084
AGO,SLB,16075
AGO,SLE,3469
AGO,SLV,11575
AGO,SOM,3748
AGO,SUR,7743
AGO,SVK,6322
AGO,SVN,6078
AGO,SWE,7554
AGO,SWZ,2732
AGO,SYC,4699
AGO,SYR,5257
AGO,TCD,2305
AGO,TGO,2098
AGO,THA,9939
AGO,TJK,7785
AGO,TKM,6915
AGO,TON,16365
AGO,TTO,8518
AGO,TUN,5022
AGO,TUR,5713
AGO,TWN,12252
AGO,TZA,2883
AGO,UGA,2341
AGO,UKR,6726
AGO,URY,7589
AGO,USA,10633
AGO,UZB,7973
